,Table 1: Key ASPIRE indicators of  SPL system performance  (Post Transfer - No Adjustments),,,,,,,,,,,,,,,
,Region,Country Code,Income Classification,Country,Year,Coverage   ,,"Benefit Incidence  
 (Poorest 20%)","Average transfer amount
($/day per capita, PPP) ",Adequacy ,,Gini Inequality reduction due to SPL (% of population),Poverty Headcount reduction due to SPL (% of population),Poverty Gap reduction due to SPL (% of population),Benefit- cost ratio of SPL programs,
Status,,,,,, Poorest quintile, Total, Poorest quintile, Total, Poorest quintile, Total,,,,,
,SAR,AFG,Low income,Afghanistan,2007,23.75,15.73,5.87,0.07,37.88,22.99,0.08,1.10,2.44,0.14,
*New survey*,SAR,AFG,Low income,Afghanistan,2011,12.47,8.82,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,ECA,ALB,Upper middle income,Albania,2008,79.20,67.94,13.15,1.39,27.89,23.99,16.63,42.80,65.43,0.32,
*New survey*,ECA,ALB,Upper middle income,Albania,2012,60.59,55.06,13.24,1.55,34.80,28.24,14.84,38.65,61.36,0.31,
,LAC,ARG,High income,Argentina,2006,37.40,33.34,2.78,2.98,49.59,40.86,6.58,26.54,39.07,0.14,
,LAC,ARG,High income,Argentina,2010,41.29,37.80,5.84,7.19,39.17,37.01,9.77,31.77,49.11,0.20,
*New survey*,LAC,ARG,High income,Argentina,2011,48.10,42.14,10.85,7.80,86.02,29.88,7.03,28.50,47.43,0.17,
*New survey*,LAC,ARG,High income,Argentina,2012,45.85,41.05,10.43,10.87,89.75,32.79,7.46,27.94,49.91,0.16,
,ECA,ARM,Lower middle income,Armenia,2008,70.65,60.86,19.95,1.06,51.08,27.91,20.00,44.57,72.30,0.37,
,ECA,ARM,Lower middle income,Armenia,2009,67.93,60.79,16.71,1.19,53.13,33.98,24.56,50.13,76.44,0.39,
*New survey*,ECA,ARM,Lower middle income,Armenia ,2013,70.21,65.04,16.41,1.18,57.62,33.08,21.77,46.94,73.78,0.35,
,ECA,AZE,Upper middle income,Azerbaijan,2008,94.70,95.13,17.62,2.62,88.22,43.30,37.52,64.73,85.81,0.37,
,SAR,BGD,Lower middle income,Bangladesh,2005,22.52,13.98,15.36,0.34,25.60,27.67,3.44,10.87,31.93,0.28,
,SAR,BGD,Lower middle income,Bangladesh,2010,27.95,19.22,8.66,0.22,6.85,11.94,0.92,5.99,12.33,0.14,
,ECA,BLR,Upper middle income,Belarus,2008,83.59,74.96,14.75,4.79,51.64,37.20,33.80,54.58,79.93,0.41,
,ECA,BLR,Upper middle income,Belarus,2009,82.81,73.86,14.89,4.53,51.15,36.42,33.77,54.05,79.04,0.43,
,ECA,BLR,Upper middle income,Belarus,2010,80.56,74.35,13.99,5.59,51.06,37.03,34.30,55.16,80.91,0.42,
*New survey*,ECA,BLR,Upper middle income,Belarus,2012,82.49,77.25,14.54,6.85,57.04,41.13,37.76,57.82,83.31,0.42,
,LAC,BLZ,Upper middle income,Belize,2009,42.06,39.39,18.94,0.54,53.07,23.35,2.78,10.71,28.10,0.26,
,AFR,BEN,Low income,Benin,2003,3.60,6.63,2.47,0.97,34.64,39.49,0.03,6.69,17.50,0.12,
,SAR,BTN,Lower middle income,Bhutan,2007,2.76,2.40,15.29,0.03,3.03,2.10,0.01,0.14,0.19,0.22,
*New survey*,SAR,BTN,Lower middle income,Bhutan ,2012,4.12,2.92,1.31,0.51,17.20,27.64,0.17,0.77,2.18,0.18,
,LAC,BOL,Lower middle income,Bolivia,2006,6.93,16.14,1.63,2.24,44.04,27.63,0.96,9.38,10.32,0.05,
,LAC,BOL,Lower middle income,Bolivia,2007,72.61,58.35,2.05,0.69,36.67,26.67,1.24,12.13,14.59,0.07,
