Country,Remark,Region,Country Code,Status,Year,Coverage: Poorest quintile,Coverage: Total,Poorest quintile,"Poorest quintile: Average transfer amount ($/day per capita, PPP), Total",Adequacy: Poorest quintile,Adequacy: Total,Gini Inequality reduction due to SPL (% of population),Poverty Headcount reduction due to SPL (% of population),Poverty Gap reduction due to SPL (% of population),Benefit- cost ratio of SPL programs
Afghanistan,,SAR,AFG,Low income,2007,23.75,15.73,5.87,0.07,37.88,22.99,0.08,1.1,2.44,0.14
Afghanistan,*New survey*,SAR,AFG,Low income,2011,12.47,8.82,,,,,,,,
Albania,,ECA,ALB,Upper middle income,2008,79.2,67.94,13.15,1.39,27.89,23.99,16.63,42.8,65.43,0.32
Albania,*New survey*,ECA,ALB,Upper middle income,2012,60.59,55.06,13.24,1.55,34.8,28.24,14.84,38.65,61.36,0.31
Argentina,,LAC,ARG,High income,2006,37.4,33.34,2.78,2.98,49.59,40.86,6.58,26.54,39.07,0.14
Argentina,,LAC,ARG,High income,2010,41.29,37.8,5.84,7.19,39.17,37.01,9.77,31.77,49.11,0.2
Argentina,*New survey*,LAC,ARG,High income,2011,48.1,42.14,10.85,7.8,86.02,29.88,7.03,28.5,47.43,0.17
Argentina,*New survey*,LAC,ARG,High income,2012,45.85,41.05,10.43,10.87,89.75,32.79,7.46,27.94,49.91,0.16
Armenia,,ECA,ARM,Lower middle income,2008,70.65,60.86,19.95,1.06,51.08,27.91,20.0,44.57,72.3,0.37
Armenia,,ECA,ARM,Lower middle income,2009,67.93,60.79,16.71,1.19,53.13,33.98,24.56,50.13,76.44,0.39
Armenia ,*New survey*,ECA,ARM,Lower middle income,2013,70.21,65.04,16.41,1.18,57.62,33.08,21.77,46.94,73.78,0.35
Azerbaijan,,ECA,AZE,Upper middle income,2008,94.7,95.13,17.62,2.62,88.22,43.3,37.52,64.73,85.81,0.37
Bangladesh,,SAR,BGD,Lower middle income,2005,22.52,13.98,15.36,0.34,25.6,27.67,3.44,10.87,31.93,0.28
Bangladesh,,SAR,BGD,Lower middle income,2010,27.95,19.22,8.66,0.22,6.85,11.94,0.92,5.99,12.33,0.14
Belarus,,ECA,BLR,Upper middle income,2008,83.59,74.96,14.75,4.79,51.64,37.2,33.8,54.58,79.93,0.41
Belarus,,ECA,BLR,Upper middle income,2009,82.81,73.86,14.89,4.53,51.15,36.42,33.77,54.05,79.04,0.43
Belarus,,ECA,BLR,Upper middle income,2010,80.56,74.35,13.99,5.59,51.06,37.03,34.3,55.16,80.91,0.42
Belarus,*New survey*,ECA,BLR,Upper middle income,2012,82.49,77.25,14.54,6.85,57.04,41.13,37.76,57.82,83.31,0.42
Belize,,LAC,BLZ,Upper middle income,2009,42.06,39.39,18.94,0.54,53.07,23.35,2.78,10.71,28.1,0.26
Benin,,AFR,BEN,Low income,2003,3.6,6.63,2.47,0.97,34.64,39.49,0.03,6.69,17.5,0.12
Bhutan,,SAR,BTN,Lower middle income,2007,2.76,2.4,15.29,0.03,3.03,2.1,0.01,0.14,0.19,0.22
Bhutan ,*New survey*,SAR,BTN,Lower middle income,2012,4.12,2.92,1.31,0.51,17.2,27.64,0.17,0.77,2.18,0.18
Bolivia,,LAC,BOL,Lower middle income,2006,6.93,16.14,1.63,2.24,44.04,27.63,0.96,9.38,10.32,0.05
Bolivia,,LAC,BOL,Lower middle income,2007,72.61,58.35,2.05,0.69,36.67,26.67,1.24,12.13,14.59,0.07
Bolivia,*New survey*,LAC,BOL,Lower middle income,2008,84.88,73.44,14.67,1.07,55.84,17.39,6.63,23.52,37.17,0.18
Bolivia,*New survey*,LAC,BOL,Lower middle income,2009,90.2,79.08,14.64,1.15,58.85,17.23,7.1,25.59,36.39,0.18
Bolivia,*New survey*,LAC,BOL,Lower middle income,2011,88.35,76.48,14.6,1.23,38.6,13.82,6.2,21.24,34.76,0.19
Bolivia,*New survey*,LAC,BOL,Lower middle income,2012,88.47,76.75,15.1,1.24,41.14,13.5,6.11,21.63,32.77,0.19
Bosnia and Herzegovina,,ECA,BIH,Upper middle income,2007,57.27,57.62,12.41,2.96,30.16,17.87,9.44,30.8,47.54,0.23
Botswana,,AFR,BWA,Upper middle income,2009,91.63,73.77,13.15,0.5,25.06,10.33,3.94,20.07,38.7,0.18
Brazil,,LAC,BRA,Upper middle income,2006,67.57,53.93,1.5,3.63,66.32,46.67,5.25,32.38,44.74,0.08
Brazil,,LAC,BRA,Upper middle income,2009,33.87,45.46,2.48,3.93,46.35,40.97,7.53,36.31,50.82,0.11
Brazil,*New survey*,LAC,BRA,Upper middle income,2011,35.94,45.34,2.64,4.56,42.82,40.6,8.55,37.76,52.26,0.13
Brazil,*New survey*,LAC,BRA,Upper middle income,2012,36.77,46.38,2.86,5.02,42.82,39.47,9.14,38.62,53.84,0.14
Bulgaria,,ECA,BGR,Upper middle income,2007,86.93,73.61,18.18,2.6,53.88,32.19,28.08,51.14,72.23,0.39
Burkina Faso,,AFR,BFA,Low income,2003,31.49,34.27,2.71,0.12,106.05,50.21,1.04,6.73,19.06,0.15
Burkina Faso,,AFR,BFA,Low income,2009,,,,,,,,,,
Cambodia,,EAP,KHM,Low income,2008,1.86,3.17,1.2,0.25,2.62,7.02,-0.08,0.81,0.92,0.07
Cameroon,,AFR,CMR,Lower middle income,2007,1.14,4.04,1.63,0.99,32.71,26.93,0.22,3.34,7.86,0.1
Cape Verde,,AFR,CPV,Lower middle income,2007,33.83,29.68,7.59,0.6,20.25,14.74,2.2,14.5,28.31,0.17
Chile,,LAC,CHL,High income,2006,97.25,91.77,7.88,1.19,22.6,18.68,5.93,27.75,44.11,0.19
Chile,,LAC,CHL,High income,2009,97.54,92.65,9.89,1.6,24.88,17.49,7.7,33.13,50.75,0.24
Chile,*New survey*,LAC,CHL,High income,2011,95.96,83.75,9.96,1.63,22.28,17.97,6.57,28.19,45.45,0.23
Colombia,,LAC,COL,Upper middle income,2010,66.65,52.3,3.8,1.74,15.72,18.83,0.12,8.56,16.07,0.06
Colombia,,LAC,COL,Upper middle income,2011,63.78,51.6,3.02,1.88,16.67,16.94,0.16,7.13,14.13,0.04
Colombia,,LAC,COL,Upper middle income,2012,61.33,48.86,2.84,1.98,13.96,19.4,-0.4,7.2,12.99,0.04
