country,social_p,social_p cont. lin. est. from ILO,social_p piecewise lin. est. from ILO,social_r,social_r cont. lin. est. from ILO,social_r piecewise lin. est. from ILO
Albania,0.2629495641629598,,,0.17935972626416474,,
Argentina,0.2001534455359978,,,0.14264750646937888,,
Armenia,0.5050600974072442,,,0.2457265032536369,,
Australia,0.578,,,0.126,,
Austria,0.51716638,,,0.40816435,,
Azerbaijan,0.8571289621356334,,,0.38777251599754,,
Bangladesh,0.056762952438716034,,,0.0553770944413467,,
Belarus,0.4917469369193375,,,0.3101703987921827,,
Belgium,0.65117317,,,0.402522585,,
Benin,0.04725879624981513,,,0.07452986615849086,,
Bolivia,0.3472089336125369,,,0.2268693312429084,,
Bosnia and Herzegovina,0.21952171315065594,,,0.12545992207249582,,
Botswana,0.2327888197915706,,,0.04377653874540727,,
Brazil,0.22567230651126025,,,0.2056113132070956,,
Bulgaria,0.66309464,,,0.404462695,,
Burkina Faso,0.4946753901560933,,,0.3235166050780195,,
Cambodia,0.02478883990859972,,,0.028243106138826062,,
Cameroon,0.149924286778418,,,0.029862131888120688,,
Canada,0.631,,,0.14,,
Colombia,0.12269429867232788,,,0.08732756485972662,,
"Congo, Dem. Rep.",0.012981287634021592,,,0.030175238221482683,,
"Congo, Rep.",0.1719690500661691,,,0.1521444160488617,,
Costa Rica,0.4696688141506717,,,0.20280860501907427,,
Croatia,0.549424,,,0.270493,,
Czech Republic,0.40579885,,,0.450117368,,
Denmark,0.67680752,,,0.353511483,,
Dominican Republic,0.1917471414625228,,,0.11760695886439584,,
Ecuador,0.2792929608576753,,,0.17364544512629726,,
"Egypt, Arab Rep.",0.10013164023017088,,,0.11927926539328736,,
El Salvador,0.18429042105884488,,,0.1773739959750223,,
Estonia,0.51851898,,,0.34896655,,
Finland,0.57169229,,,0.335617398,,
France,0.49639142,,,0.37605085,,
Gabon,0.22083996445867293,,,0.12165273695354185,,
Georgia,0.9832011784414144,,,0.5428108927360503,,
Germany,0.64378774,,,0.383320503,,
Greece,0.38459209,,,0.496522668,,
Guatemala,0.21925287935117188,,,0.10471864953838116,,
Honduras,0.2579741926798659,,,0.13477151366151952,,
Hungary,0.912333,,,0.525706,,
Ireland,0.78696066,,,0.483332488,,
Italy,0.43236375,,,0.413812555,,
Jamaica,0.26651858938195394,,,0.1474314747293658,,
Jordan,0.24754125076743594,,,0.20254922683467025,,
Kenya,0.05486851859573319,,,0.07183448406098354,,
Kyrgyz Republic,0.7217599301569062,,,0.4621961027620737,,
Lao PDR,0.03728431799420904,,,0.13347582175320616,,
Latvia,0.616317,,,0.230291,,
Liberia,0.04503793391523511,,,0.12573070699110653,,
Lithuania,0.810897,,,0.314705,,
Madagascar,0.07554764626798254,,,0.1054161434005338,,
Malawi,0.03189209342110269,,,0.03962894099199903,,
Malaysia,0.1471422500216373,,,0.05773081708127114,,
Mali,0.024631705730870014,,,0.05299713321707195,,
Mexico,0.5340229455306378,,,0.2547689062898621,,
Moldova,0.4658781844872598,,,0.33756533499209274,,
Mongolia,0.32451319459176803,,,0.18658999698714795,,
Nepal,0.1957230900073423,,,0.3589367106901816,,
Netherlands,0.4378458,,,0.331487095,,
Niger,0.05921709568758075,,,0.06195777077582978,,
Nigeria,0.004318494866955536,,,0.0078094642485003855,,
Pakistan,0.06627475544327993,,,0.1375627297173065,,
Panama,0.13708015804999846,,,0.19584232441457688,,
Paraguay,0.2225409228619448,,,0.18271037767433412,,
Peru,0.17809290377262527,,,0.1438275088967906,,
Philippines,0.1881751680446434,,,0.2282986677130677,,
Poland,0.593962,,,0.488281,,
Romania,0.563182,,,0.409705,,
Rwanda,0.03711900809696269,,,0.022847104782541428,,
Senegal,0.11367795298178585,,,0.2177170059081968,,
