,Code,Region,Income group,Lending category,HIPC,Data,missing_data,income share bottom quint.,income share bottom quint: year
Afghanistan,AFG,South Asia,Low income,IDA,HIPC,0.0,"plgp, avg_prod_k",,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,,1.0,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD,,0.0,"share1, social_p, social_r, avg_prod_k, share1_ref, v, pv",,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Andorra,ADO,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, avg_prod_k, share1_ref, v, pv",,
Angola,AGO,Sub-Saharan Africa,Upper middle income,IBRD,,0.0,"social_p, social_r",,
Antigua and Barbuda,ATG,..,High income: nonOECD,IBRD,,0.0,"share1, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.47237186906471706,2013
Armenia,ARM,Europe & Central Asia,Lower middle income,IBRD,,1.0,,,
Aruba,ABW,..,High income: nonOECD,,,0.0,"share1, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Australia,AUS,..,High income: OECD,,,1.0,,,
Austria,AUT,..,High income: OECD,,EMU,1.0,,,
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,,1.0,,,
"Bahamas, The",BHS,..,High income: nonOECD,,,0.0,"share1, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Bahrain,BHR,..,High income: nonOECD,,,0.0,"share1, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Bangladesh,BGD,South Asia,Low income,IDA,,1.0,,,
Barbados,BRB,..,High income: nonOECD,,,0.0,"share1, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,,1.0,,,
Belgium,BEL,..,High income: OECD,,EMU,1.0,,,
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD,,0.0,"share1, axfin_p, axfin_r, share1_ref, v, pv",,
Benin,BEN,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
