country,Total public social protection expenditure and health expenditure (% GDP),Public health care (% GDP),Public social protection (% GDP),year,sanity,ILO social_p cont lin estimation,ILO social_r cont lin estimation,ILO social_p piecewise lin estimation,ILO social_r piecewise lin estimation
Afghanistan,5.6,3.61,1.99,2011.0,0,0.06744499194728737,0.043729253389863366,0.1467667439007608,0.13538923849070023
Algeria,8.53,3.17,5.36,2011.0,0,0.18166088283289464,0.11778331566314958,0.39531143080807934,0.18379877424000945
Angola,6.79,2.15,4.64,2011.0,0,0.1572586746911625,0.10196167624571156,0.342209895326397,0.17345608410959312
Antigua and Barbuda,7.09,4.05,3.05,2011.0,-0.01,0.10337046504483742,0.06702222253220265,0.22494400447101529,0.15061597673825738
Aruba,17.8,9.6,8.2,2009.0,0,0.27791403716972685,0.1801908933652661,0.4450801488733994,0.22459494086553988
Asia and the Middle East,,,,,0,,,0.0,0.0
"Bahamas, The",6.29,3.5,2.79,2011.0,0,0.09455855654921194,0.06130885274257226,0.20576844999151891,0.14688111641338486
Bahrain,4.01,2.4,1.61,2010.0,0,0.054566048761373206,0.035378943697326644,0.1187409335076507,0.129930596477425
Barbados,11.41,4.34,7.07,2010.0,0,0.23961612716950842,0.15535970927956483,0.4353919532577899,0.20836266329974773
Belize,5.76,3.76,2.0,2011.0,0,0.06778391150481143,0.04394899838177223,0.14750426522689528,0.13553288696473376
Bhutan,5.2,3.03,2.17,2012.0,0,0.0735455439827204,0.047684663244222866,0.16004212777118138,0.13797491102330423
Brunei Darussalam,2.31,1.6,0.71,2011.0,0,0.024063288584208056,0.01560189442552914,0.05236401415554782,0.11700223381440472
Burundi,4.94,2.89,2.05,2010.0,0,0.06947850929243171,0.04504772334131653,0.15119187185756763,0.13625112933490152
Cape Verde,6.87,2.38,4.49,2010.0,0,0.15217488132830168,0.09866550136707866,0.33114707543437993,0.17130135699908977
Central African Republic,2.55,1.93,0.62,2012.0,0,0.021013012566491542,0.013624189498349391,0.04572632222033753,0.1096414816924286
Chad,1.31,1.01,0.3,2010.0,0,0.010167586725721715,0.006592349757265834,0.02212563978403429,0.05305232985117513
Chile,10.43,3.63,6.8,2011.0,0,0.23046529911635885,0.14942659449802556,0.43307707465936995,0.20448415450084179
China,6.83,1.27,5.56,2010.0,0,0.18843927398337576,0.12217821550132678,0.41006185733076883,0.18667174372068063
Cook Islands,6.74,3.75,2.99,2010.0,0,0.10133694769969309,0.06570375258074948,0.22051887651420846,0.14975408589405603
Cote d'Ivoire,1.95,0.87,1.08,2011.0,0,0.036603312212598174,0.023732459126157006,0.07965230322252345,0.1223172273536464
Cuba,22.8,9.7,13.1,2010.0,0,0.44398462035651487,0.28786593940060806,0.4870909086225028,0.2949826931419839
Cyprus,22.6,3.35,19.47,2011.0,-0.22,0.6598763784993392,0.4278434992465526,0.5417048962963371,0.3864867711013602
Djibouti,7.29,5.34,1.95,2007.0,0,0.06608931371719115,0.04285027342222792,0.1438166585962229,0.134814644594566
