country,Income share of bootom 20% [SI.DST.FRST.20],year
Albania,0.0885,2012
Algeria,0.0696,1995
Angola,0.054299999999999994,2008
Argentina,0.0475,2013
Armenia,0.0848,2013
Australia,0.0709,2010
Austria,0.07780000000000001,2012
Azerbaijan,0.13369999999999999,2005
Bangladesh,0.0889,2010
Belarus,0.0965,2012
Belgium,0.0862,2012
Belize,0.0321,1999
Benin,0.060599999999999994,2011
Bhutan,0.0677,2012
Bolivia,0.0342,2013
Bosnia and Herzegovina,0.0748,2007
Botswana,0.028399999999999998,2009
Brazil,0.032799999999999996,2013
Bulgaria,0.0616,2012
Burkina Faso,0.067,2009
Burundi,0.0892,2006
Cabo Verde,0.049699999999999994,2007
Cambodia,0.09050000000000001,2012
Cameroon,0.0583,2007
Canada,0.071,2010
Central African Republic,0.0333,2008
Chad,0.048600000000000004,2011
Chile,0.0463,2013
China,0.0467,2010
Colombia,0.0335,2013
Comoros,0.0401,2004
"Congo, Dem. Rep.",0.0553,2012
"Congo, Rep.",0.056600000000000004,2011
Costa Rica,0.0412,2013
Cote d'Ivoire,0.051100000000000007,2008
Croatia,0.0699,2011
Cyprus,0.0799,2012
Czech Republic,0.0955,2012
Denmark,0.0848,2012
Djibouti,0.042699999999999995,2012
Dominican Republic,0.0493,2013
Ecuador,0.045599999999999995,2013
"Egypt, Arab Rep.",0.0925,2008
El Salvador,0.0552,2013
Estonia,0.0717,2012
Ethiopia,0.0803,2010
Fiji,0.061,2008
Finland,0.0943,2012
France,0.078,2012
Gabon,0.0582,2005
"Gambia, The",0.04769999999999999,2003
Georgia,0.0562,2013
Germany,0.0837,2011
Ghana,0.0524,2005
Greece,0.0555,2012
Guatemala,0.0387,2011
Guinea,0.0756,2012
Guinea-Bissau,0.0449,2010
Guyana,0.0452,1998
Haiti,0.019799999999999998,2012
Honduras,0.031,2013
Hungary,0.078,2012
Iceland,0.09179999999999999,2012
India,0.08199999999999999,2011
Indonesia,0.07629999999999999,2010
"Iran, Islamic Rep.",0.0681,2013
Iraq,0.08800000000000001,2012
Ireland,0.07730000000000001,2012
Israel,0.0461,2010
Italy,0.0623,2012
Jamaica,0.0528,2004
Japan,0.0737,2008
Jordan,0.0819,2010
Kazakhstan,0.09949999999999999,2013
Kenya,0.046799999999999994,2005
Kiribati,0.0616,2006
Kosovo,0.09390000000000001,2013
Kyrgyz Republic,0.0962,2012
Lao PDR,0.0725,2012
Latvia,0.0634,2012
Lesotho,0.028399999999999998,2010
Liberia,0.065,2007
Lithuania,0.06509999999999999,2012
Luxembourg,0.0706,2012
"Macedonia, FYR",0.053899999999999997,2008
Madagascar,0.065,2010
Malawi,0.0545,2010
Malaysia,0.045599999999999995,2009
Maldives,0.0649,2009
Mali,0.0797,2009
Mauritania,0.0638,2008
Mauritius,0.0742,2012
Mexico,0.048600000000000004,2012
"Micronesia, Fed. Sts.",0.016200000000000003,2000
Moldova,0.09140000000000001,2013
Mongolia,0.0765,2012
Montenegro,0.0712,2013
Morocco,0.0654,2007
Mozambique,0.052199999999999996,2008
Namibia,0.0327,2009
Nepal,0.0834,2010
Netherlands,0.08869999999999999,2012
Nicaragua,0.0464,2009
Niger,0.08929999999999999,2011
Nigeria,0.0537,2009
Norway,0.09300000000000001,2012
Pakistan,0.0959,2010
Panama,0.0338,2013
Papua New Guinea,0.047400000000000005,2009
Paraguay,0.0426,2013
Peru,0.0443,2013
Philippines,0.0592,2012
Poland,0.0803,2012
Portugal,0.0645,2012
Romania,0.0891,2012
Russian Federation,0.059000000000000004,2012
Rwanda,0.0513,2010
Samoa,0.0632,2008
Sao Tome and Principe,0.08380000000000001,2010
Senegal,0.060599999999999994,2011
Serbia,0.0837,2010
Seychelles,0.057999999999999996,2006
Sierra Leone,0.0791,2011
Slovak Republic,0.0862,2012
Slovenia,0.0943,2012
Solomon Islands,0.049699999999999994,2005
South Africa,0.024700000000000003,2011
Spain,0.0576,2012
Sri Lanka,0.0727,2012
St. Lucia,0.052300000000000006,1995
Sudan,0.0682,2009
Swaziland,0.04,2009
Sweden,0.087,2012
Switzerland,0.0809,2012
Syrian Arab Republic,0.0765,2004
Tajikistan,0.08349999999999999,2009
Tanzania,0.0737,2011
Thailand,0.0665,2012
Timor-Leste,0.08990000000000001,2007
Togo,0.0483,2011
Tonga,0.0658,2009
Trinidad and Tobago,0.055,1992
Tunisia,0.0673,2010
Turkey,0.057999999999999996,2012
Turkmenistan,0.061399999999999996,1998
Uganda,0.0608,2012
Ukraine,0.1027,2013
United Kingdom,0.0751,2012
United States,0.051,2013
Uruguay,0.051399999999999994,2013
Uzbekistan,0.0742,2003
Vanuatu,0.067,2010
"Venezuela, RB",0.0318,2006
Vietnam,0.0652,2012
West Bank and Gaza,0.0771,2009
"Yemen, Rep.",0.0782,2005
Zambia,0.0381,2010
